 No,       Img X,       Img Y, RA cat (deg), Dec cat (deg),    Mag, -2.5*LSP,    Cat X,   Cat Y, RA img (deg), Dec img (deg), Err amin,  Err px, Direction
  1,  806.518281, 1693.108066,   206.885000,    +49.313333,  +1.86,    -8.04,   806.89, 1693.35,   206.904688,    +49.286330,     1.79,    0.45,     +32.5
  2,  856.699238, 1784.671518,   200.981250,    +54.925278,  +2.27,    -8.34,   856.71, 1785.05,   201.057984,    +54.921410,     2.66,    0.37,     +88.2
  3,  846.922951, 1853.786386,   193.507083,    +55.959722,  +1.77,    -8.34,   847.33, 1853.56,   193.481036,    +55.932685,     1.84,    0.47,     -28.4
  4,  933.299162, 2085.967763,   165.932083,    +61.750833,  +1.79,    -8.42,   933.01, 2086.32,   165.889846,    +61.720808,     2.16,    0.46,    +129.1
  5,  844.250374, 2113.599002,   165.460417,    +56.382500,  +2.37,    -7.50,   843.89, 2114.20,   165.420744,    +56.379063,     1.33,    0.70,    +120.7
  6,  785.358114, 1989.562688,   178.457500,    +53.694722,  +2.44,    -7.35,   785.09, 1990.23,   178.476877,    +53.686907,     0.83,    0.72,    +111.7
  7, 1692.401324,  944.904498,   297.695833,     +8.868333,  +0.77,    -9.17,  1692.56,  946.32,   297.665318,     +8.904669,     2.83,    1.43,     +83.7
  8, 2023.645245, 2123.344521,    30.975000,    +42.329722,  +2.26,    -8.11,  2023.98, 2123.48,    30.958538,    +42.319168,     0.97,    0.36,     +22.0
  9, 2126.709478, 1946.879662,    17.432917,    +35.620556,  +2.06,    -8.24,  2127.18, 1946.38,    17.392573,    +35.614408,     2.00,    0.68,     -47.0
 10, 1754.546815, 1869.018982,     2.294583,    +59.149722,  +2.27,    -7.75,  1753.90, 1868.11,     2.203909,    +59.164880,     2.93,    1.12,    -125.5
 11, 1802.278272, 1918.698350,    10.127083,    +56.537222,  +2.23,    -7.81,  1801.62, 1917.71,     9.995578,    +56.571764,     4.82,    1.19,    -123.5
 12, 1746.680163, 1954.964463,    14.177083,    +60.716667,  +2.47,    -7.76,  1746.04, 1953.85,    14.060746,    +60.752699,     4.04,    1.28,    -119.8
 13,  483.571557, 1273.032422,   213.915417,    +19.182500,  -0.04,    -9.34,   484.52, 1272.19,   213.923428,    +19.205430,     1.45,    1.27,     -41.4
 14,  826.878877, 1217.627770,   233.672083,    +26.714722,  +2.23,    -7.83,   826.82, 1217.93,   233.639359,    +26.704490,     1.86,    0.31,    +101.2
 15, 2051.200184, 1147.762614,   326.046667,     +9.875000,  +2.39,    -7.63,  2050.79, 1148.25,   326.032535,     +9.944493,     4.25,    0.64,    +130.2
 16, 1380.561535, 1285.800399,   279.234583,    +38.783611,  +0.03,    -9.35,  1380.41, 1285.18,   279.169680,    +38.676778,     7.09,    0.64,    -104.1
 17, 1622.598256, 1372.862771,   305.557083,    +40.256667,  +2.20,    -7.51,  1623.24, 1371.91,   305.574569,    +40.198483,     3.58,    1.14,     -56.1
 18, 1633.243025, 1449.001462,   310.357917,    +45.280278,  +1.25,    -8.59,  1634.34, 1448.92,   310.390340,    +45.215908,     4.10,    1.10,      -4.0
 19, 1713.868711, 1329.372186,   311.552917,    +33.970278,  +2.46,    -7.30,  1713.87, 1328.85,   311.579257,    +33.958355,     1.49,    0.52,     -89.7
 20, 1201.839088,  916.110555,   263.733750,    +12.560000,  +2.08,    -8.09,  1202.17,  916.66,   263.726813,    +12.580855,     1.32,    0.64,     +58.7
 21, 1236.296111,  791.147333,   265.868333,     +4.567222,  +2.77,    -7.10,  1235.73,  790.86,   265.887555,     +4.556976,     1.30,    0.64,    -153.0
 22, 2148.081761,  910.019467,   322.889583,     -5.571111,  +2.91,    -7.22,  2148.12,  910.51,   322.909040,     -5.579575,     1.27,    0.49,     +85.2
 23, 2218.531588, 1065.734357,   331.445833,     -0.319722,  +2.96,    -7.01,  2218.57, 1066.04,   331.477647,     -0.308769,     2.02,    0.31,     +82.6
